,wavelength,wg_width,wg_thickness,bend_curvature,mode_number,n_eff,loss,te_fraction,selfOverlapStrength,crossOverlapStrength
89,1.55,2.4,0.38,0.05,1,1.7350051024891542,2.8418288263172997e-08,0.9989178157409586,2.93876757683897e-05j,(7.55688353578661+0.007150965468686931j)
90,1.55,2.4,0.38,0.0,2,1.6340650695103693,0.00011719771781819399,0.9977928271460925,-0.0004033310253239719j,(13.430333735243085-3.36685379191388e-16j)
91,1.55,2.4,0.38,0.005555555555555556,2,1.63372514765018,5.702817641955045e-09,0.9978469779168846,-0.041678728464617815j,(13.219547104642842+0.008692319032836054j)
92,1.55,2.4,0.38,0.011111111111111112,2,1.633516570680888,1.1842166791664588e-08,0.9978442527382609,-0.06332726129650994j,(12.765906527838304+0.011254060756064685j)
93,1.55,2.4,0.38,0.016666666666666666,2,1.6332070068479931,2.561839347543236e-08,0.9978354781638509,-0.0706170999068584j,(12.126154523157425+0.009296165008719718j)
94,1.55,2.4,0.38,0.022222222222222223,2,1.632851769324675,5.8195059289977655e-08,0.9978153471509793,-0.06881641468152118j,(11.357033608928171+0.0044295716298370985j)
95,1.55,2.4,0.38,0.02777777777777778,2,1.632516343153957,1.4010066172019914e-07,0.9977780977920043,-0.06319337600635634j,(10.515286303478497-0.0017347795415515951j)
96,1.55,2.4,0.38,0.03333333333333333,2,1.6322700235045593,3.6170426446933844e-07,0.997718300922828,-0.059016154267221954j,(9.657655125136376-0.00758594866640901j)
97,1.55,2.4,0.38,0.03888888888888889,2,1.6321825185069097,1.018405449714574e-06,0.9976313600765395,-0.06155291984997591j,(8.840882592229757-0.011512995905703281j)
98,1.55,2.4,0.38,0.044444444444444446,2,1.6323251966311625,3.2088113908220494e-06,0.9975140331489563,-0.07607184314047649j,(8.121711223086606-0.011904981420400931j)
99,1.55,2.4,0.38,0.05,2,1.6327809367221395,1.178248767409834e-05,0.9973664627976749,-0.10784109452458146j,(7.556883536034884-0.00715096537146622j)
100,1.6,2.4,0.38,0.0,1,1.6966423347435655,1.3338582553024227e-10,0.9995531655904232,-9.163289636694694e-06j,(12.7726033280129+1.5546987158756238e-15j)
101,1.6,2.4,0.38,0.005555555555555556,1,1.6970301373968095,2.910194598426541e-10,0.9995404939863813,5.547634999768329e-06j,(12.588341780338936-0.007650312542287391j)
102,1.6,2.4,0.38,0.011111111111111112,1,1.6981800019147681,6.168292626121629e-10,0.9995036215074685,1.4041505452914546e-05j,(12.196138689851443-0.009811893453823578j)
103,1.6,2.4,0.38,0.016666666666666666,1,1.700060755138134,1.2713788549182923e-09,0.9994452428587262,1.835583134533659e-05j,(11.641727998814774-0.008291542044949918j)
104,1.6,2.4,0.38,0.022222222222222223,1,1.7026259354141018,2.5556397338805445e-09,0.9993691220936789,2.0528122299627105e-05j,(10.970843649493291-0.00489605762600973j)
105,1.6,2.4,0.38,0.02777777777777778,1,1.7058200836542508,5.031177184331452e-09,0.9992793513073145,2.2595887938378725e-05j,(10.229219584151348-0.0014322395073472001j)
106,1.6,2.4,0.38,0.03333333333333333,1,1.7095846388407527,9.749128964044133e-09,0.9991797683390324,2.6596637884184073e-05j,(9.462589745053315+0.000293113000693896j)
107,1.6,2.4,0.38,0.03888888888888889,1,1.7138623952301442,1.869576335654195e-08,0.9990736336709164,3.456788175963584e-05j,(8.716688074463539-0.0015267994122299998j)
108,1.6,2.4,0.38,0.044444444444444446,1,1.7186002744805413,3.568074472910909e-08,0.9989635344871282,4.8547129187326575e-05j,(8.037248514646384-0.008698776056461759j)
109,1.6,2.4,0.38,0.05,1,1.7237506771800004,6.815927759581336e-08,0.9988514303845553,7.057188978984902e-05j,(7.470005007866208-0.023029616242345584j)
110,1.6,2.4,0.38,0.0,2,1.6193777381548675,3.653257594849392e-05,0.9975456138657713,-0.010288820771961638j,(12.772603328009351+1.4743354123787685e-15j)
111,1.6,2.4,0.38,0.005555555555555556,2,1.619346507629323,1.5963970949479144e-08,0.9975578683437383,-0.014869423791314253j,(12.588341780332703+0.007650312541636168j)
112,1.6,2.4,0.38,0.011111111111111112,2,1.6191720882046208,3.31327314116949e-08,0.9975535584819215,-0.016805616272560105j,(12.196138689837191+0.009811893451059761j)
113,1.6,2.4,0.38,0.016666666666666666,2,1.6189123419240325,7.176826630251413e-08,0.9975423906622096,-0.016389819587201693j,(11.641727998787228+0.00829154203837874j)
114,1.6,2.4,0.38,0.022222222222222223,2,1.6186178184557785,1.6367229949337177e-07,0.9975192532071591,-0.013914455106741526j,(10.970843649447229+0.004896057613699987j)
115,1.6,2.4,0.38,0.02777777777777778,2,1.6183502738054352,3.9724754276778334e-07,0.9974784643587142,-0.009671944202682088j,(10.229219584081598+0.0014322394871303737j)
116,1.6,2.4,0.38,0.03333333333333333,2,1.6181784155033991,1.0409709106798596e-06,0.9974146033665047,-0.003954708246525903j,(9.462589744954753-0.00029311303122099504j)
117,1.6,2.4,0.38,0.03888888888888889,2,1.618177335313393,3.00737789234198e-06,0.997323333199123,0.002944831390224549j,(8.716688074331104+0.0015267993687505708j)
118,1.6,2.4,0.38,0.044444444444444446,2,1.6184357266593679,9.89064410634022e-06,0.9972032231393638,0.01073425333606674j,(8.037248514475069+0.008698775997153737j)
119,1.6,2.4,0.38,0.05,2,1.6190799344380524,3.877069144753364e-05,0.9970634016605935,0.019121136219498215j,(7.470005007651053+0.023029616164094924j)
120,1.5,2.5,0.38,0.0,1,1.7191815660338226,1.727115173018817e-11,0.9996836559920017,-1.429801927186605e-06j,(15.894631411962127-1.2055238544546076e-15j)
121,1.5,2.5,0.38,0.005555555555555556,1,1.7196728564744268,4.081236395360315e-11,0.9996696373413385,9.105371970798602e-07j,(15.446751508043766+0.00010407349908225272j)
122,1.5,2.5,0.38,0.011111111111111112,1,1.7211239682217703,9.17018091531924e-11,0.9996292844738122,2.2620649171608927e-06j,(14.69332075911849+0.00020762516279423734j)
123,1.5,2.5,0.38,0.016666666666666666,1,1.7234751242766888,1.964188520960607e-10,0.9995668821792174,2.946571174064493e-06j,(13.716855889214719+0.00027029297593365214j)
124,1.5,2.5,0.38,0.022222222222222223,1,1.7266421977415818,4.034686088416878e-10,0.9994878984941903,3.2858459087986585e-06j,(12.599873622360882+0.00025171492330134645j)
125,1.5,2.5,0.38,0.02777777777777778,1,1.7305318658388527,8.009952262418976e-10,0.9993976088722986,3.601679062371391e-06j,(11.424890682585405+0.00011152898968618985j)
126,1.5,2.5,0.38,0.03333333333333333,1,1.7350531780737892,1.5495031828852841e-09,0.999300332457077,4.21586057579069e-06j,(10.274423793916718-0.00019062684010892776j)
127,1.5,2.5,0.38,0.03888888888888889,1,1.7401240519288412,2.943620720389511e-09,0.9991992560609685,5.450180390064553e-06j,(9.230989680383244-0.000695114581291584j)
128,1.5,2.5,0.38,0.044444444444444446,1,1.7456736647752193,5.530902966894587e-09,0.9990965828987817,7.62642844620099e-06j,(8.377105066013415-0.0014422962490588892j)
129,1.5,2.5,0.38,0.05,1,1.751642380598685,1.0345730015168906e-08,0.9989937790327899,1.1066394685207987e-05j,(7.79528667483565-0.0024725338586207256j)
130,1.5,2.5,0.38,0.0,2,1.6549217858967802,-1.3087734220581228e-06,0.9983532560742698,-0.000726024155500056j,(15.894631411961718-4.2725192905249487e-16j)
131,1.5,2.5,0.38,0.005555555555555556,2,1.6548219563426965,1.3852705691893768e-09,0.9983544085232209,0.001331510381135744j,(15.446751508052118-0.00010407350640825783j)
132,1.5,2.5,0.38,0.011111111111111112,2,1.6545329170719685,2.9122366048983167e-09,0.9983543152869018,0.0024472698437370552j,(14.693320759138123-0.00020762517949517826j)
133,1.5,2.5,0.38,0.016666666666666666,2,1.6541158503455864,6.370969203440144e-09,0.9983483494915123,0.0029079172797081367j,(13.716855889249274-0.0002702930050422092j)
134,1.5,2.5,0.38,0.022222222222222223,2,1.653653764242128,1.460874025698603e-08,0.998329835109186,0.0030001157364532485j,(12.599873622415114-0.00025171496882619483j)
135,1.5,2.5,0.38,0.02777777777777778,2,1.6532379527160197,3.53681795255939e-08,0.9982922488730893,0.003010528261376647j,(11.424890682665199-0.0001115290566253008j)
136,1.5,2.5,0.38,0.03333333333333333,2,1.6529563187804528,9.117776001975704e-08,0.9982301461074633,0.003225817901882592j,(10.27442379402907+0.00019062674578096427j)
137,1.5,2.5,0.38,0.03888888888888889,2,1.6528871522687956,2.532248305943189e-07,0.9981394237391881,0.003932647705375346j,(9.230989680536277+0.0006951144526157562j)
138,1.5,2.5,0.38,0.044444444444444446,2,1.6530979436210502,7.714039033743208e-07,0.9980171469762581,0.00541768071925916j,(8.377105066216366+0.0014422960780996617j)
139,1.5,2.5,0.38,0.05,2,1.6536489909004173,2.6544425552721236e-06,0.9978622095956293,0.007967579990938299j,(7.795286675098879+0.0024725336364561008j)
140,1.55,2.5,0.38,0.0,1,1.7087058027671334,4.572629024032855e-11,0.9996442526785606,-3.636641229447094e-06j,(15.012179943987888-3.4795717203759486e-15j)
141,1.55,2.5,0.38,0.005555555555555556,1,1.709172612213428,1.0559876734400681e-10,0.9996302196748987,2.281300262267612e-06j,(14.655181488706946-0.00021577172009977358j)
142,1.55,2.5,0.38,0.011111111111111112,1,1.7105530698346152,2.3340169272155834e-10,0.9995896972726879,5.698896157886906e-06j,(14.017001381198922-1.8423264436144957e-05j)
143,1.55,2.5,0.38,0.016666666666666666,1,1.7127961410431674,4.94708889025915e-10,0.9995265971872161,7.431623024736374e-06j,(13.169780803297316+0.00036502658173983004j)
144,1.55,2.5,0.38,0.022222222222222223,1,1.715828768463988,1.0104868471925822e-09,0.999446047860504,8.294957430141598e-06j,(12.185660936835625+0.0007075590331823755j)
145,1.55,2.5,0.38,0.02777777777777778,1,1.719568154052929,2.00226092618735e-09,0.9993531742267906,9.104375941428161e-06j,(11.136782963647349+0.000782155304647696j)
146,1.55,2.5,0.38,0.03333333333333333,1,1.723931735640095,3.876645369735042e-09,0.9992523404296272,1.0675355125921652e-05j,(10.095288065565986+0.00036179661088577876j)
147,1.55,2.5,0.38,0.03888888888888889,1,1.7288433439226365,7.386465230274248e-09,0.9991468978813143,1.3823371550947655e-05j,(9.133317424425037-0.0007805358333478319j)
148,1.55,2.5,0.38,0.044444444444444446,1,1.7342359582416107,1.3944397387102421e-08,0.9990392540183815,1.9363901783831755e-05j,(8.323012222057997-0.0028718608132979216j)
149,1.55,2.5,0.38,0.05,1,1.7400522082498224,2.6249181015023864e-08,0.9989310682654878,2.8112422391899524e-05j,(7.736513640298368-0.006139197114215175j)
150,1.55,2.5,0.38,0.0,2,1.64047111062594,-9.42033909037323e-06,0.9981173166706451,-0.0018458049649137387j,(15.012179943995836-2.287726411672454e-16j)
151,1.55,2.5,0.38,0.005555555555555556,2,1.6405142526915186,4.059935205098687e-09,0.9981219483362196,0.0007602951924310867j,(14.65518148871386+0.00021577172261906375j)
152,1.55,2.5,0.38,0.011111111111111112,2,1.640257522405361,8.510423356407665e-09,0.9981205121905455,0.002212835614726013j,(14.017001381208322+1.842326651840933e-05j)
153,1.55,2.5,0.38,0.016666666666666666,2,1.6398841891848968,1.8589925387183123e-08,0.9981126901375773,0.002918003978193553j,(13.169780803311344-0.00036502658291290204j)
154,1.55,2.5,0.38,0.022222222222222223,2,1.6394679681020912,4.265202975015997e-08,0.998091996642801,0.0032819879590562174j,(12.18566093685504-0.0007075590402909334j)
155,1.55,2.5,0.38,0.02777777777777778,2,1.6390924161478522,1.036818599878921e-07,0.9980518106822284,0.0037109752335365183j,(11.13678296367153-0.0007821553202339562j)
156,1.55,2.5,0.38,0.03333333333333333,2,1.6388413147767296,2.699156224731707e-07,0.9979863088599233,0.004611153477856969j,(10.095288065592934-0.00036179663735668924j)
157,1.55,2.5,0.38,0.03888888888888889,2,1.6387936767744975,7.640054476491473e-07,0.9978908651609001,0.00638871036824008j,(9.133317424451372+0.0007805357937260465j)
158,1.55,2.5,0.38,0.044444444444444446,2,1.6390242443719856,2.407207554358097e-06,0.9977613992884119,0.009449833580908371j,(8.323012222078962+0.0028718607583996347j)
159,1.55,2.5,0.38,0.05,2,1.6396119534100466,8.766490270800439e-06,0.997600083790172,0.014200710792084327j,(7.736513640307822+0.006139197042048696j)
160,1.6,2.5,0.38,0.0,1,1.6984649348535423,1.1437067361553929e-10,0.9996020370856814,-8.746602030131057e-06j,(14.222805031520004+4.770974431572172e-16j)
